section_id,prof_id,course_id,semester,year,enrollment_estimate
1,1,01:198:112,Spring,2024,99
2,1,01:198:344,Spring,2024,18
3,1,01:198:112,Fall,2024,68
4,1,01:198:112,Spring,2025,98
5,1,01:198:344,Spring,2025,69
6,1,01:198:112,Fall,2025,98
7,2,01:198:440,Spring,2024,52
8,2,01:198:344,Fall,2024,48
9,2,01:198:440,Fall,2024,25
10,2,01:198:344,Spring,2025,40
11,2,01:198:440,Spring,2025,45
12,2,01:198:440,Fall,2025,76
13,2,01:198:344,Fall,2025,61
14,3,01:198:205,Spring,2024,59
15,3,01:198:314,Spring,2024,61
16,3,01:198:314,Fall,2024,47
17,3,01:198:205,Fall,2024,81
18,3,01:198:205,Spring,2025,107
19,3,01:198:314,Fall,2025,75
20,3,01:198:205,Fall,2025,113
21,4,01:198:437,Spring,2024,38
22,4,01:198:440,Spring,2024,48
23,4,01:198:437,Fall,2024,61
24,4,01:198:440,Fall,2024,74
25,4,01:198:437,Spring,2025,45
26,4,01:198:440,Spring,2025,51
27,4,01:198:440,Fall,2025,32
28,4,01:198:437,Fall,2025,31
29,5,01:198:336,Spring,2024,71
30,5,01:198:211,Spring,2024,122
31,5,01:198:211,Fall,2024,93
32,5,01:198:336,Fall,2024,75
33,5,01:198:211,Spring,2025,102
34,5,01:198:336,Spring,2025,42
35,5,01:198:336,Fall,2025,62
36,5,01:198:211,Fall,2025,125
37,6,01:198:344,Spring,2024,54
38,6,01:198:205,Spring,2024,126
39,6,01:198:344,Fall,2024,18
40,6,01:198:205,Fall,2024,111
41,6,01:198:205,Spring,2025,96
42,6,01:198:344,Spring,2025,49
43,6,01:198:344,Fall,2025,56
44,6,01:198:205,Fall,2025,55
45,7,01:198:440,Spring,2024,50
46,7,01:198:437,Spring,2024,62
47,7,01:198:437,Fall,2024,84
48,7,01:198:440,Fall,2024,44
49,7,01:198:440,Spring,2025,38
50,7,01:198:440,Fall,2025,44
51,7,01:198:437,Fall,2025,73
52,8,01:198:213,Spring,2024,101
53,8,01:198:437,Spring,2024,44
54,8,01:198:437,Fall,2024,65
55,8,01:198:213,Fall,2024,96
56,8,01:198:213,Spring,2025,114
57,8,01:198:437,Spring,2025,40
58,8,01:198:213,Fall,2025,88
59,9,01:198:344,Spring,2024,47
60,9,01:198:206,Spring,2024,65
61,9,01:198:206,Fall,2024,100
62,9,01:198:344,Fall,2024,60
63,9,01:198:206,Spring,2025,95
64,9,01:198:344,Spring,2025,50
65,9,01:198:344,Fall,2025,26
66,9,01:198:206,Fall,2025,86
67,10,01:198:314,Spring,2024,48
68,10,01:198:211,Spring,2024,78
69,10,01:198:314,Fall,2024,51
70,10,01:198:211,Spring,2025,103
71,10,01:198:314,Fall,2025,92
72,10,01:198:211,Fall,2025,98
73,11,01:198:416,Spring,2024,60
74,11,01:198:314,Spring,2024,53
75,11,01:198:416,Fall,2024,18
76,11,01:198:314,Fall,2024,54
77,11,01:198:416,Spring,2025,56
78,11,01:198:314,Spring,2025,104
79,11,01:198:314,Fall,2025,51
80,11,01:198:416,Fall,2025,61
81,12,01:198:336,Spring,2024,54
82,12,01:198:336,Fall,2024,31
83,12,01:198:213,Fall,2024,117
84,12,01:198:213,Spring,2025,110
85,12,01:198:336,Fall,2025,70
