student_id,gpa_range,major,credit_load,workload_tolerance,grade_goal,learning_style_tag,preferred_difficulty
1,2.5-3.0,Data Science,16,3,B+,Project-Based,3.02
2,2.5-3.0,Electrical Engineering,16,5,A,Visual,3.35
3,3.0-3.5,Computer Science,12,2,B+,Hands-On,2.76
4,3.0-3.5,Mathematics,17,3,A,Reading/Writing,2.94
5,3.0-3.5,Computer Science,18,5,A,Lecture-Oriented,3.59
6,2.5-3.0,Computer Science,18,3,A,Reading/Writing,3.31
7,3.5-4.0,Data Science,17,2,A,Visual,3.03
8,2.5-3.0,Economics,17,1,B,Project-Based,2.03
9,3.0-3.5,Mathematics,13,1,A,Visual,2.01
10,3.0-3.5,Economics,18,3,B,Visual,2.86
11,2.5-3.0,Electrical Engineering,17,3,A,Project-Based,1.85
12,3.5-4.0,Electrical Engineering,13,4,B,Hands-On,2.59
13,2.5-3.0,Computer Science,14,4,B+,Lecture-Oriented,4.03
14,3.0-3.5,Computer Science,17,2,A,Visual,3.47
15,2.5-3.0,Computer Science,15,4,A,Hands-On,3.23
16,2.5-3.0,Electrical Engineering,15,2,A,Visual,2.94
17,3.0-3.5,Mathematics,15,3,B+,Project-Based,3.16
18,2.5-3.0,Computer Science,14,3,A,Reading/Writing,4.54
19,2.5-3.0,Mathematics,14,1,B+,Reading/Writing,2.86
20,3.5-4.0,Economics,12,4,A,Project-Based,3.29
21,3.0-3.5,Computer Science,15,2,A,Project-Based,2.17
22,3.0-3.5,Data Science,17,2,B,Project-Based,1.85
23,3.5-4.0,BAIT,17,3,B,Project-Based,3.1
24,3.5-4.0,Data Science,15,3,B+,Project-Based,2.62
25,2.5-3.0,Data Science,15,2,B+,Hands-On,1.94
26,3.5-4.0,Computer Science,16,5,B,Reading/Writing,3.38
27,2.5-3.0,Data Science,16,3,B+,Reading/Writing,2.46
28,3.0-3.5,Data Science,13,4,B+,Hands-On,4.19
29,3.0-3.5,Data Science,17,1,B+,Visual,2.74
30,3.5-4.0,Computer Science,18,2,A,Visual,2.65
31,2.5-3.0,Economics,16,1,B,Visual,3.04
32,3.0-3.5,Economics,16,4,A,Lecture-Oriented,3.39
33,3.0-3.5,Computer Science,17,4,B+,Visual,2.92
34,2.5-3.0,Computer Science,17,4,B+,Visual,4.11
35,2.5-3.0,Economics,12,5,B+,Lecture-Oriented,3.97
36,3.5-4.0,Mathematics,18,5,B,Project-Based,3.18
37,3.0-3.5,BAIT,16,5,A,Hands-On,3.6
38,3.0-3.5,Computer Science,13,4,B,Reading/Writing,2.91
39,3.0-3.5,Mathematics,14,5,A,Reading/Writing,3.01
40,3.0-3.5,Computer Science,16,2,A,Hands-On,3.11
41,3.0-3.5,Electrical Engineering,17,2,A,Lecture-Oriented,3.6
42,3.0-3.5,Data Science,15,4,A,Lecture-Oriented,2.65
43,3.5-4.0,Economics,12,4,B,Project-Based,3.63
44,3.0-3.5,Computer Science,14,4,A,Lecture-Oriented,3.02
45,3.5-4.0,Electrical Engineering,16,4,B+,Hands-On,3.11
46,2.5-3.0,Computer Science,15,4,A,Reading/Writing,3.05
47,3.5-4.0,Computer Science,15,4,B,Project-Based,2.92
48,2.5-3.0,Economics,16,5,B+,Visual,3.72
49,3.5-4.0,Data Science,18,1,B+,Visual,1.88
50,3.0-3.5,Computer Science,15,3,A,Lecture-Oriented,3.14
51,3.0-3.5,Computer Science,12,3,B+,Project-Based,2.97
52,3.0-3.5,Computer Science,12,1,B+,Visual,2.18
53,2.5-3.0,Computer Science,12,1,B+,Hands-On,1.85
54,3.0-3.5,Electrical Engineering,16,2,B,Lecture-Oriented,2.36
55,3.0-3.5,Computer Science,16,3,B,Visual,3.38
56,3.0-3.5,Computer Science,12,2,B,Project-Based,2.9
57,3.0-3.5,Economics,13,4,A,Hands-On,2.86
58,3.5-4.0,BAIT,18,1,B+,Visual,2.35
59,2.5-3.0,Computer Science,15,5,B+,Visual,4.08
60,3.5-4.0,Computer Science,18,5,A,Lecture-Oriented,2.87
61,3.0-3.5,Economics,17,1,B,Lecture-Oriented,2.57
62,3.0-3.5,Computer Science,16,2,B,Reading/Writing,2.32
63,3.5-4.0,BAIT,15,5,A,Project-Based,3.99
64,3.0-3.5,BAIT,18,3,B,Reading/Writing,2.62
65,2.5-3.0,Electrical Engineering,16,4,B+,Lecture-Oriented,2.45
66,2.5-3.0,Data Science,14,3,A,Hands-On,2.19
67,3.0-3.5,Computer Science,16,3,B+,Reading/Writing,3.02
68,2.5-3.0,Data Science,13,5,A,Lecture-Oriented,3.83
69,3.5-4.0,Electrical Engineering,17,4,B+,Lecture-Oriented,2.9
70,2.5-3.0,Computer Science,13,4,A,Hands-On,3.67
71,3.5-4.0,Mathematics,15,3,B+,Reading/Writing,2.17
72,3.5-4.0,Data Science,14,4,B+,Reading/Writing,3.32
73,3.0-3.5,Computer Science,17,3,A,Visual,2.39
74,3.5-4.0,Computer Science,13,5,B+,Reading/Writing,3.37
75,3.5-4.0,Mathematics,12,5,B,Reading/Writing,3.72
76,3.0-3.5,Computer Science,12,2,B+,Hands-On,2.22
77,2.5-3.0,Economics,16,3,A,Hands-On,2.81
78,2.5-3.0,BAIT,16,4,A,Lecture-Oriented,3.85
79,3.0-3.5,Computer Science,12,4,A,Lecture-Oriented,3.06
80,2.5-3.0,Data Science,12,1,B+,Visual,2.72
81,2.5-3.0,BAIT,14,2,A,Hands-On,2.09
82,3.5-4.0,BAIT,16,1,B+,Project-Based,2.56
83,3.5-4.0,Data Science,15,2,A,Project-Based,3.37
84,3.0-3.5,Mathematics,12,4,B+,Visual,2.11
85,3.5-4.0,Computer Science,17,2,A,Hands-On,2.25
86,3.5-4.0,Computer Science,12,2,A,Project-Based,2.94
87,3.0-3.5,Computer Science,14,4,B+,Lecture-Oriented,3.25
88,3.5-4.0,Computer Science,14,1,B+,Project-Based,2.49
89,3.0-3.5,Computer Science,13,2,B+,Reading/Writing,2.35
90,2.5-3.0,Computer Science,18,2,A,Project-Based,2.69
91,3.0-3.5,Computer Science,17,3,A,Lecture-Oriented,2.92
92,3.5-4.0,Data Science,15,3,A,Visual,3.58
93,3.5-4.0,Computer Science,14,4,A,Hands-On,3.48
94,3.5-4.0,Economics,18,5,B+,Reading/Writing,3.87
95,2.5-3.0,BAIT,13,5,B+,Lecture-Oriented,3.49
96,2.5-3.0,Economics,15,3,B+,Lecture-Oriented,2.76
97,3.0-3.5,Computer Science,14,1,A,Visual,2.08
98,3.0-3.5,Data Science,15,2,A,Lecture-Oriented,2.85
99,2.5-3.0,Data Science,14,5,A,Visual,3.49
100,3.5-4.0,BAIT,12,4,B+,Project-Based,3.49
101,3.0-3.5,Computer Science,16,4,A,Lecture-Oriented,4.39
102,2.5-3.0,Computer Science,16,4,A,Reading/Writing,3.79
103,3.5-4.0,Data Science,12,4,B,Project-Based,3.19
104,3.5-4.0,Computer Science,16,2,A,Lecture-Oriented,3.25
105,2.5-3.0,Economics,12,1,B+,Visual,2.1
106,3.0-3.5,Economics,14,2,B+,Reading/Writing,1.63
107,3.0-3.5,Economics,13,4,B+,Hands-On,2.85
108,2.5-3.0,Economics,16,4,B+,Hands-On,2.41
109,3.0-3.5,BAIT,18,1,A,Project-Based,2.12
110,2.5-3.0,Computer Science,14,3,B,Project-Based,3.01
111,2.5-3.0,Data Science,15,4,A,Project-Based,4.19
112,3.0-3.5,Data Science,14,5,B,Hands-On,3.86
113,3.0-3.5,Computer Science,18,5,A,Reading/Writing,3.59
114,3.5-4.0,Economics,15,4,A,Hands-On,3.76
115,2.5-3.0,Computer Science,16,4,A,Visual,2.24
116,2.5-3.0,Data Science,15,4,A,Hands-On,3.47
117,3.5-4.0,Economics,12,4,B+,Reading/Writing,3.74
118,3.5-4.0,Electrical Engineering,17,3,A,Reading/Writing,2.26
119,3.0-3.5,Economics,17,5,B+,Lecture-Oriented,4.27
120,2.5-3.0,Mathematics,13,5,B+,Reading/Writing,3.87
121,3.5-4.0,Computer Science,12,2,B+,Visual,2.44
122,2.5-3.0,Electrical Engineering,12,4,A,Visual,3.67
123,3.0-3.5,Computer Science,13,3,A,Lecture-Oriented,4.14
124,3.5-4.0,BAIT,13,5,A,Project-Based,3.79
125,3.5-4.0,Electrical Engineering,15,4,B,Hands-On,3.47
126,3.0-3.5,Mathematics,15,2,A,Visual,2.42
127,3.0-3.5,Electrical Engineering,13,4,A,Reading/Writing,2.93
128,3.0-3.5,Mathematics,15,5,B+,Lecture-Oriented,4.12
129,2.5-3.0,Economics,18,3,B+,Hands-On,2.57
130,3.5-4.0,Computer Science,14,4,B,Reading/Writing,3.39
131,3.5-4.0,Data Science,12,1,B+,Visual,2.06
132,3.5-4.0,Data Science,14,5,B+,Hands-On,3.94
133,3.0-3.5,Computer Science,13,5,B+,Hands-On,3.87
134,3.5-4.0,Mathematics,14,1,B+,Visual,2.82
135,3.0-3.5,Electrical Engineering,12,5,B,Reading/Writing,3.44
136,2.5-3.0,Computer Science,18,4,B+,Reading/Writing,3.22
137,3.5-4.0,Economics,18,5,A,Lecture-Oriented,3.21
138,3.5-4.0,BAIT,18,3,A,Visual,2.78
139,2.5-3.0,BAIT,17,2,B+,Lecture-Oriented,2.84
140,3.0-3.5,Computer Science,15,5,A,Project-Based,4.08
141,3.0-3.5,Computer Science,17,1,B+,Project-Based,1.84
142,3.5-4.0,Economics,12,4,B+,Lecture-Oriented,3.78
143,3.5-4.0,Economics,16,1,A,Project-Based,2.98
144,3.5-4.0,Computer Science,18,2,B+,Reading/Writing,2.86
145,2.5-3.0,Computer Science,12,4,A,Lecture-Oriented,4.29
146,2.5-3.0,Computer Science,16,1,A,Lecture-Oriented,1.91
147,3.5-4.0,Economics,17,3,B,Lecture-Oriented,2.38
148,3.5-4.0,Electrical Engineering,15,5,B+,Lecture-Oriented,2.81
149,3.0-3.5,Economics,14,5,A,Reading/Writing,4.45
150,3.0-3.5,Data Science,13,2,B,Visual,2.98
151,3.5-4.0,Economics,17,3,A,Lecture-Oriented,2.97
152,2.5-3.0,Economics,18,3,B,Visual,3.14
153,3.5-4.0,Mathematics,12,2,A,Reading/Writing,2.09
154,2.5-3.0,BAIT,13,2,A,Project-Based,3.87
155,3.5-4.0,Computer Science,18,2,A,Hands-On,2.71
156,2.5-3.0,Computer Science,13,5,B,Project-Based,3.75
157,2.5-3.0,Computer Science,18,3,A,Visual,3.36
158,2.5-3.0,Mathematics,12,3,A,Visual,3.24
159,3.5-4.0,Data Science,12,2,B+,Lecture-Oriented,2.76
160,3.0-3.5,Data Science,12,4,B+,Hands-On,2.95
161,2.5-3.0,Electrical Engineering,18,5,B+,Reading/Writing,3.94
162,3.5-4.0,Economics,12,4,B,Lecture-Oriented,4.29
163,3.5-4.0,Computer Science,17,4,B,Visual,4.02
164,3.0-3.5,Mathematics,12,1,A,Project-Based,3.1
165,3.5-4.0,Electrical Engineering,15,5,B,Project-Based,3.44
166,3.0-3.5,Data Science,15,3,A,Visual,2.51
167,3.5-4.0,BAIT,15,5,B+,Hands-On,3.64
168,3.0-3.5,BAIT,15,4,A,Visual,3.38
169,3.0-3.5,Computer Science,14,3,A,Hands-On,3.55
170,2.5-3.0,Computer Science,12,4,A,Visual,2.5
171,2.5-3.0,Data Science,16,3,B,Project-Based,3.76
172,3.5-4.0,Computer Science,14,3,B,Lecture-Oriented,2.92
173,3.0-3.5,Mathematics,14,1,A,Project-Based,2.09
174,2.5-3.0,Mathematics,13,2,B,Reading/Writing,2.14
175,3.0-3.5,Computer Science,14,5,B+,Lecture-Oriented,2.87
176,3.5-4.0,Mathematics,17,5,B+,Project-Based,4.11
177,2.5-3.0,Computer Science,17,3,B+,Reading/Writing,3.04
178,2.5-3.0,Computer Science,13,3,B+,Lecture-Oriented,2.36
179,2.5-3.0,Electrical Engineering,12,1,A,Project-Based,1.65
180,3.0-3.5,Data Science,14,2,A,Reading/Writing,2.48
181,3.5-4.0,Mathematics,12,3,A,Project-Based,3.83
182,3.5-4.0,Computer Science,15,1,B+,Lecture-Oriented,2.17
183,3.0-3.5,Data Science,13,5,B+,Visual,2.95
184,3.0-3.5,Computer Science,17,3,B+,Lecture-Oriented,2.88
185,3.5-4.0,Computer Science,13,5,A,Project-Based,3.56
186,2.5-3.0,Computer Science,13,1,B+,Reading/Writing,1.5
187,3.0-3.5,Computer Science,15,3,B+,Hands-On,2.97
188,3.0-3.5,Data Science,13,2,B+,Reading/Writing,2.53
189,3.0-3.5,BAIT,12,1,A,Lecture-Oriented,2.65
190,3.0-3.5,Mathematics,16,1,A,Lecture-Oriented,3.22
191,2.5-3.0,Data Science,14,3,A,Project-Based,3.56
192,3.5-4.0,Economics,12,4,A,Visual,3.22
193,3.0-3.5,Mathematics,16,2,A,Reading/Writing,2.1
194,2.5-3.0,Computer Science,13,3,A,Visual,4.29
195,3.5-4.0,Computer Science,18,5,A,Hands-On,3.73
196,2.5-3.0,Computer Science,13,2,A,Hands-On,2.66
197,2.5-3.0,Economics,17,1,B+,Project-Based,2.29
198,3.0-3.5,Electrical Engineering,16,5,B+,Project-Based,3.8
199,3.5-4.0,Computer Science,15,3,A,Lecture-Oriented,2.93
200,3.0-3.5,Mathematics,14,3,B+,Reading/Writing,2.71
201,3.0-3.5,Computer Science,14,4,B,Visual,3.08
202,3.5-4.0,Mathematics,15,1,B+,Project-Based,2.28
203,3.0-3.5,Economics,16,1,B+,Reading/Writing,2.03
204,3.0-3.5,Data Science,12,5,B+,Reading/Writing,3.34
205,3.5-4.0,Mathematics,12,1,A,Lecture-Oriented,2.35
206,3.5-4.0,Data Science,13,4,A,Reading/Writing,3.22
207,3.0-3.5,BAIT,17,4,B+,Reading/Writing,4.1
208,3.0-3.5,Computer Science,17,1,A,Reading/Writing,1.5
209,2.5-3.0,Computer Science,16,5,B+,Reading/Writing,4.25
210,3.5-4.0,Electrical Engineering,15,3,A,Visual,3.62
211,3.5-4.0,Computer Science,18,3,A,Hands-On,1.96
212,2.5-3.0,Mathematics,15,5,B+,Visual,3.53
213,3.0-3.5,Computer Science,13,3,A,Lecture-Oriented,2.81
214,2.5-3.0,Economics,13,2,A,Visual,1.95
215,3.5-4.0,BAIT,16,5,A,Reading/Writing,3.31
216,2.5-3.0,Mathematics,13,5,A,Project-Based,3.14
217,3.5-4.0,Data Science,15,2,A,Hands-On,3.53
218,3.5-4.0,Computer Science,17,4,B+,Hands-On,3.82
219,2.5-3.0,Computer Science,18,5,B+,Hands-On,4.34
220,3.5-4.0,Economics,15,3,B+,Reading/Writing,3.36
221,3.5-4.0,Data Science,13,4,B,Project-Based,2.79
222,3.0-3.5,Computer Science,15,2,B,Project-Based,2.39
223,3.5-4.0,BAIT,18,1,A,Visual,2.54
224,3.0-3.5,Data Science,16,2,A,Lecture-Oriented,2.04
225,2.5-3.0,BAIT,14,1,B,Lecture-Oriented,2.66
226,3.0-3.5,Data Science,13,1,A,Visual,2.18
227,2.5-3.0,Computer Science,12,3,B,Reading/Writing,2.81
228,2.5-3.0,Computer Science,18,2,B+,Hands-On,3.01
229,3.0-3.5,Mathematics,12,4,A,Hands-On,3.57
230,3.5-4.0,Economics,16,2,B+,Visual,2.47
231,2.5-3.0,Computer Science,12,3,A,Project-Based,3.58
232,2.5-3.0,Computer Science,15,4,B+,Visual,2.81
233,3.5-4.0,Computer Science,13,5,A,Visual,4.01
234,3.0-3.5,Computer Science,15,5,A,Visual,4.0
235,3.0-3.5,Computer Science,16,5,B+,Project-Based,3.55
236,2.5-3.0,Data Science,15,5,A,Lecture-Oriented,3.86
237,3.0-3.5,Electrical Engineering,14,3,B+,Reading/Writing,2.37
238,3.5-4.0,Mathematics,12,2,B+,Reading/Writing,3.11
239,2.5-3.0,Computer Science,14,2,B,Hands-On,2.56
240,3.5-4.0,Data Science,13,4,B,Visual,3.09
241,2.5-3.0,Computer Science,12,4,B+,Visual,3.87
242,3.0-3.5,Data Science,18,3,B+,Reading/Writing,2.65
243,3.5-4.0,Computer Science,14,1,B,Visual,1.6
244,3.0-3.5,Computer Science,14,3,A,Lecture-Oriented,2.22
245,3.0-3.5,Computer Science,13,4,B+,Lecture-Oriented,3.65
246,3.5-4.0,Computer Science,12,3,B+,Visual,2.36
247,3.5-4.0,Economics,13,4,B+,Reading/Writing,4.23
248,2.5-3.0,Computer Science,14,1,A,Project-Based,1.5
249,2.5-3.0,Electrical Engineering,14,4,A,Reading/Writing,4.2
250,3.0-3.5,Computer Science,18,5,B,Visual,3.81
