rating_id,student_id,section_id,rating
1,164,8,1
2,71,16,3
3,189,7,4
4,229,35,2
5,109,3,1
6,56,15,4
7,7,36,3
8,167,35,4
9,115,38,3
10,223,1,5
11,41,28,3
12,40,14,5
13,87,7,2
14,25,23,5
15,155,17,5
16,187,30,4
17,250,25,2
18,76,40,5
19,93,37,3
20,18,3,4
21,198,19,5
22,219,15,5
23,98,18,4
24,214,24,3
25,91,14,4
26,180,5,4
27,44,35,5
28,42,30,4
29,237,36,3
30,84,4,3
31,9,21,4
32,17,14,5
33,146,21,3
34,128,26,5
35,165,30,2
36,36,16,5
37,138,17,5
38,110,38,4
39,57,9,4
40,24,4,5
41,40,11,5
42,109,39,2
43,98,39,5
44,136,17,5
45,221,1,4
46,30,35,5
47,197,22,2
48,112,11,4
49,245,17,5
50,196,12,4
51,28,20,5
52,130,39,3
53,96,11,4
54,200,34,5
55,154,21,4
56,29,24,5
57,213,20,3
58,62,37,5
59,22,32,5
60,195,35,5
61,33,31,5
62,43,17,4
63,156,28,5
64,238,35,5
65,177,13,5
66,103,24,4
67,133,29,2
68,58,5,3
69,151,36,3
70,57,1,2
71,162,4,3
72,232,3,5
73,19,33,3
74,172,32,3
75,34,37,4
76,63,31,5
77,49,7,2
78,111,23,4
79,120,4,4
80,166,7,2
81,187,22,5
82,28,16,3
83,138,29,2
84,47,18,4
85,224,5,4
86,221,36,2
87,215,1,5
88,238,16,3
89,125,31,3
90,103,4,3
91,1,25,3
92,201,30,3
93,179,36,4
94,125,10,3
95,56,4,4
96,139,4,5
97,15,4,4
98,129,34,3
99,246,33,2
100,48,5,4
101,173,16,4
102,242,37,3
103,153,3,4
104,108,38,4
105,81,17,3
106,184,21,3
107,102,9,4
108,77,30,3
109,193,5,1
110,160,37,5
111,19,35,3
112,68,9,5
113,226,5,5
114,95,19,3
115,214,35,5
116,157,34,1
117,210,36,3
118,170,7,5
119,35,17,2
120,28,36,3
121,73,39,3
122,88,14,4
123,219,17,4
124,65,4,2
125,109,18,1
126,86,9,4
127,68,11,5
128,142,28,4
129,29,5,5
130,177,10,4
131,150,36,2
132,33,3,3
133,231,3,5
134,54,16,4
135,91,36,5
136,105,40,5
137,237,16,5
138,250,12,5
139,7,12,5
140,86,27,5
141,222,16,3
142,202,7,4
143,10,31,3
144,210,30,3
145,211,15,3
146,169,13,4
147,72,5,5
148,72,23,4
149,103,35,3
150,8,8,5
151,67,12,4
152,68,3,2
153,112,23,5
154,81,28,4
155,131,8,4
156,148,13,3
157,182,28,1
158,237,35,4
159,241,13,4
160,18,22,4
161,170,8,5
162,77,33,3
163,105,21,4
164,76,36,2
165,108,25,4
166,232,12,4
167,78,26,4
168,1,20,3
169,111,38,4
170,83,30,4
171,173,14,4
172,204,11,4
173,73,33,4
174,159,22,2
175,244,16,4
176,58,13,2
177,12,16,5
178,157,5,4
179,227,37,3
180,179,25,4
181,63,10,4
182,2,7,5
183,57,12,5
184,179,34,4
185,143,16,5
186,32,30,2
187,119,34,5
188,153,21,5
189,229,29,4
190,185,33,4
191,233,36,4
192,41,31,4
193,193,16,5
194,71,34,4
195,62,18,4
196,183,19,3
197,86,21,5
198,21,9,3
199,99,10,5
200,17,27,4
201,139,30,4
202,53,27,4
203,198,38,5
204,6,37,4
205,2,23,3
206,100,27,4
207,189,35,5
208,230,15,4
209,70,28,4
210,100,22,4
211,205,26,5
212,216,30,5
213,160,35,1
214,101,38,4
215,7,6,4
216,35,30,3
217,67,25,3
218,117,21,3
219,226,25,3
220,244,27,3
221,21,31,1
222,244,23,3
223,194,2,5
224,52,2,4
225,62,9,4
226,30,37,5
227,120,17,5
228,43,39,4
229,192,8,5
230,42,20,2
231,7,20,4
232,233,25,4
233,184,13,2
234,177,16,2
235,198,20,5
236,154,8,5
237,145,3,3
238,110,24,2
239,166,22,1
240,108,32,2
241,246,24,4
242,213,30,5
243,112,12,5
244,248,18,4
245,236,35,5
246,120,28,5
247,152,18,3
248,63,6,3
249,116,16,5
250,146,40,4
251,87,2,4
252,84,12,4
253,91,17,3
254,226,39,5
255,71,36,1
256,243,13,2
257,185,27,4
258,195,16,4
259,166,32,4
